Wetland Name,Year,Period,Date,Julian Day,Latitude,Longitude,WQI,Volume,TURB,TSS,ISS,TP,SRP,TN,TAN,TNN
Tadenac Bay B,2015,2,2015-08-17,229,45.0401,-79.98703,2.22,44089.45,8.1,6.9,2.533333333,24.32,3.761862467,0.85,0.005,0.1
Treasure Bay,2009,1,2009-06-22,173,44.869368,-79.8595,1.51,509780.28,1.08,2.07,1.97,9.92,4.06,0.475,0.005,0.01
Treasure Bay,2005,1,2005-06-14,165,44.86854,-79.86049,1.55,478081.45,1.06,0.05,0.01,6.21,3.82,0.619,0.005,0.005
Treasure Bay,2016,2,2016-08-15,228,44.87293,-79.85719,1.46,569625.1,1.07,5.344,0.01,9.08,9.461521933,0.366,0.02,0.266
Treasure Bay,2015,2,2015-07-09,190,44.87037,-79.85922,1.66,555033.14,1.92,4.1,1.4,12.83,0.08,0.11,0.03,0.02
Vennings Bay,2010,1,2010-05-26,146,44.83955,-79.77804,1.23,37584.62,6,0.966666667,0.01,24.4203016,4.437007713,0.11,0.01,0.02
Vennings Bay,2015,2,2015-07-09,190,44.84239,-79.78307,1.58,109163.57,1.16,2.19,2,18.08,1.98,0.099,0.003,0.003
Vennings Bay,2015,2,2015-07-06,187,44.8417,-79.781979,1.94,106619.24,0.88,3.44,1.54,12.19,1.54,0.449,0.005,0.005
West Bay,2003,1,2003-08-11,223,45.422283,-80.307267,0.57,68881.5,1.77,1,0.01,16.5147983,5.9619116,0.1,0.015,0.03
West Bay,2016,2,2016-07-05,187,45.42297,-80.30157,1.64,134822.56,4.31,10.18,8.08,28.63,1.98,1.37,0.005,0.005
