Wetland Code,Wetland Name,Abun_1,Emer_1,Sub_1,Float_1,Abun_2,Emer_2,Sub_2,Float_2,E_Prop1,S_Prop1,F_Prop1,E_Prop2,S_Prop2,F_Prop2
IQ,Iroquois Bay,35,9,21,5,13,2,8,0,0.257142857,0.6,0.142857143,0.153846154,0.615384615,0
JB,Jumbo Bay,25,4,21,0,6,2,3,0,0.16,0.84,0,0.333333333,0.5,0
KB,Kenerick Bay,22,3,16,3,11,5,4,0,0.136363636,0.727272727,0.136363636,0.454545455,0.363636364,0
KE,Key River,27,8,15,4,19,3,9,2,0.296296296,0.555555556,0.148148148,0.157894737,0.473684211,0.105263158
KE3,Key River 3,28,9,15,4,20,3,10,1,0.321428571,0.535714286,0.142857143,0.15,0.5,0.05
LACin,La Cloche (inner),22,5,17,0,6,3,2,0,0.227272727,0.772727273,0,0.5,0.333333333,0
LSP,Lake St. Patrick,35,6,24,5,8,1,2,0,0.171428571,0.685714286,0.142857143,0.125,0.25,0
LCH,Lost Channel,24,6,15,3,11,1,4,1,0.25,0.625,0.125,0.090909091,0.363636364,0.090909091
MB,Matchedash Bay,33,11,20,2,4,2,2,0,0.333333333,0.606060606,0.060606061,0.5,0.5,0
MNC,Miner's Creek,34,5,25,4,8,1,2,1,0.147058824,0.735294118,0.117647059,0.125,0.25,0.125
MO,Moreaus Bay,33,6,22,5,16,4,8,0,0.181818182,0.666666667,0.151515152,0.25,0.5,0
MS,Musky Bay,47,12,30,5,9,2,3,0,0.255319149,0.638297872,0.106382979,0.222222222,0.333333333,0
NI,Ni Bay,10,4,3,3,17,2,10,2,0.4,0.3,0.3,0.117647059,0.588235294,0.117647059
NB,North Bay,38,9,24,5,6,0,1,0,0.236842105,0.631578947,0.131578947,0,0.166666667,0
OB,Oak Bay,41,13,22,6,3,3,0,0,0.317073171,0.536585366,0.146341463,1,0,0
OJ,Ojibway Bay,33,8,20,5,18,5,7,0,0.242424242,0.606060606,0.151515152,0.277777778,0.388888889,0
PQN,Prisque Bay North,25,5,15,5,11,1,8,0,0.2,0.6,0.2,0.090909091,0.727272727,0
PQS,Prisque Bay South,29,4,20,5,9,3,5,0,0.137931034,0.689655172,0.172413793,0.333333333,0.555555556,0
QI,Quarry Island,35,7,25,3,13,3,5,2,0.2,0.714285714,0.085714286,0.230769231,0.384615385,0.153846154
RB,Roberts Bay,31,8,18,5,21,5,10,1,0.258064516,0.580645161,0.161290323,0.238095238,0.476190476,0.047619048
RUE,Russel Island East,7,6,1,0,6,1,4,1,0.857142857,0.142857143,0,0.166666667,0.666666667,0.166666667
RUW,Russel Island West,18,10,7,1,4,1,2,1,0.555555556,0.388888889,0.055555556,0.25,0.5,0.25
SHW,Shadow Bay,28,5,20,3,6,2,3,0,0.178571429,0.714285714,0.107142857,0.333333333,0.5,0
SHR,Shawanaga River,21,4,12,5,10,4,1,0,0.19047619,0.571428571,0.238095238,0.4,0.1,0
STCR,Sturgeon Bay Central,37,8,25,4,10,3,2,1,0.216216216,0.675675676,0.108108108,0.3,0.2,0.1
STS,Sturgeon Bay South,23,6,15,2,5,2,3,0,0.260869565,0.652173913,0.086956522,0.4,0.6,0
SJ,Sugar John,34,6,24,4,16,4,5,1,0.176470588,0.705882353,0.117647059,0.25,0.3125,0.0625
TD1,Tadenac Bay 1,36,11,22,3,12,2,5,1,0.305555556,0.611111111,0.083333333,0.166666667,0.416666667,0.083333333
TD2,Tadenac Bay 2,36,7,26,3,9,1,3,0,0.194444444,0.722222222,0.083333333,0.111111111,0.333333333,0
TB,Treasure Bay,35,9,22,4,11,1,8,0,0.257142857,0.628571429,0.114285714,0.090909091,0.727272727,0
WTF,Waterfall Bay,27,6,17,4,6,0,2,0,0.222222222,0.62962963,0.148148148,0,0.333333333,0
WE,West Bay,25,4,16,5,13,1,4,0,0.16,0.64,0.2,0.076923077,0.307692308,0
